Time, Heater Temp[C], Heater Voltage[V], Sense Voltage[V], Fan Speed[%], Ambient Temp[C]
10:00:30 AM, 70.96, 162.2016, 0.5474, 98, 22.94
10:00:31 AM, 70.96, 162.2016, 0.5523, 98, 23.52
10:00:32 AM, 70.96, 162.2016, 0.5523, 102, 23.72
10:00:33 AM, 70.76, 162.2016, 0.6158, 102, 23.13
10:00:34 AM, 70.57, 161.8021, 0.5718, 98, 23.72
10:00:35 AM, 70.76, 161.8021, 0.5914, 98, 22.94
10:00:36 AM, 70.96, 162.0018, 0.5523, 98, 23.33
10:00:37 AM, 70.96, 162.2016, 0.5230, 102, 24.88
10:00:38 AM, 70.96, 162.0018, 0.5523, 102, 22.36
10:00:39 AM, 70.96, 162.4013, 0.5376, 102, 23.33
10:00:40 AM, 70.76, 162.2016, 0.5523, 98, 23.33
10:00:41 AM, 70.96, 161.8021, 0.5816, 98, 23.91
10:00:42 AM, 70.96, 162.0018, 0.5279, 98, 21.97
10:00:43 AM, 70.96, 162.2016, 0.5572, 102, 23.72
10:00:44 AM, 70.76, 162.2016, 0.5621, 102, 23.72
10:00:45 AM, 70.96, 161.8021, 0.5474, 102, 22.74
10:00:46 AM, 70.96, 162.2016, 0.5523, 98, 23.13
10:00:47 AM, 70.96, 162.2016, 0.5572, 98, 25.47
10:00:48 AM, 70.96, 162.0018, 0.5523, 98, 23.13
10:00:49 AM, 70.96, 162.2016, 0.5279, 102, 23.13
10:00:50 AM, 71.15, 162.4013, 0.5523, 102, 23.13
10:00:51 AM, 71.15, 162.2016, 0.5474, 98, 23.33
10:00:52 AM, 70.96, 162.4013, 0.5327, 98, 23.33
10:00:53 AM, 70.96, 162.2016, 0.5523, 98, 24.11
10:00:54 AM, 70.96, 162.4013, 0.5572, 102, 23.72
10:00:55 AM, 70.96, 162.2016, 0.5621, 102, 23.72
10:00:56 AM, 70.76, 162.4013, 0.5279, 102, 22.36
10:00:57 AM, 70.57, 161.8021, 0.5816, 102, 23.52
10:00:58 AM, 70.37, 161.6023, 0.5914, 102, 23.52
10:00:59 AM, 70.57, 161.4025, 0.6109, 98, 23.33
10:01:00 AM, 70.76, 161.0030, 0.5865, 98, 23.33
10:01:01 AM, 70.76, 161.8021, 0.5767, 98, 22.94
10:01:02 AM, 70.96, 161.8021, 0.5670, 102, 22.94
10:01:03 AM, 71.15, 162.2016, 0.5474, 102, 23.33
10:01:04 AM, 71.15, 161.6023, 0.5376, 98, 23.33
10:01:05 AM, 70.76, 166.1967, 0.5376, 98, 22.94
10:01:06 AM, 70.57, 162.0018, 0.5474, 98, 23.33
10:01:07 AM, 70.37, 166.1967, 0.5816, 98, 23.13
10:01:08 AM, 70.57, 161.8021, 0.6012, 98, 23.13
10:01:09 AM, 70.76, 161.8021, 0.5572, 98, 23.52
10:01:10 AM, 70.57, 161.2028, 0.5865, 98, 23.33
10:01:11 AM, 70.57, 161.6023, 0.5963, 102, 23.13
10:01:12 AM, 70.37, 161.6023, 0.5670, 102, 23.52
10:01:13 AM, 70.57, 161.4025, 0.5767, 102, 23.52
10:01:14 AM, 70.76, 160.8033, 0.5718, 102, 24.30
10:01:15 AM, 70.76, 161.6023, 0.6158, 98, 24.11
10:01:16 AM, 71.15, 162.0018, 0.5474, 98, 23.33
10:01:17 AM, 71.15, 162.4013, 0.5474, 98, 23.52
10:01:18 AM, 71.15, 162.2016, 0.5474, 102, 23.13
10:01:19 AM, 71.15, 162.2016, 0.5425, 102, 23.52
10:01:20 AM, 70.96, 162.4013, 0.5181, 102, 23.52
10:01:21 AM, 70.96, 162.0018, 0.5425, 102, 24.11
10:01:22 AM, 70.96, 162.4013, 0.5523, 102, 23.33
10:01:23 AM, 70.96, 162.2016, 0.5474, 102, 23.33
10:01:24 AM, 71.15, 162.2016, 0.5425, 98, 23.13
10:01:25 AM, 70.96, 162.2016, 0.5230, 98, 23.72
10:01:26 AM, 70.96, 162.2016, 0.5474, 98, 23.91
10:01:27 AM, 70.96, 161.8021, 0.5279, 102, 23.72
10:01:28 AM, 71.15, 162.2016, 0.5230, 102, 29.55
10:01:29 AM, 71.15, 162.4013, 0.5230, 102, 23.33
10:01:30 AM, 71.15, 162.2016, 0.4936, 102, 23.52
10:01:31 AM, 71.15, 162.2016, 0.5474, 98, 22.74
10:01:32 AM, 71.15, 162.2016, 0.5474, 98, 23.33
10:01:33 AM, 71.15, 162.4013, 0.5474, 98, 22.74
10:01:34 AM, 71.34, 162.4013, 0.5523, 98, 23.33
10:01:35 AM, 71.15, 162.6011, 0.5181, 98, 23.91
10:01:36 AM, 71.15, 162.2016, 0.5474, 98, 23.72
10:01:37 AM, 70.96, 162.4013, 0.5376, 98, 23.33
10:01:38 AM, 70.76, 162.0018, 0.5425, 98, 23.33
10:01:39 AM, 70.57, 161.6023, 0.5914, 98, 23.13
10:01:40 AM, 70.57, 161.4025, 0.5914, 98, 23.72
10:01:41 AM, 70.57, 161.6023, 0.5621, 102, 23.33
