Time, Heater Temp[C], Heater Voltage[V], Sense Voltage[V], Fan Speed[%], Ambient Temp[C]
11:18:01 AM, 120.92, 161.6023, 0.7869, 43, 24.49
11:18:02 AM, 120.53, 161.6023, 0.8016, 43, 24.11
11:18:03 AM, 120.72, 161.2028, 0.8016, 47, 24.30
11:18:04 AM, 120.92, 161.4025, 0.8162, 43, 23.91
11:18:05 AM, 120.92, 161.4025, 0.7967, 43, 23.91
11:18:06 AM, 120.72, 162.2016, 0.8016, 43, 23.13
11:18:07 AM, 120.53, 161.4025, 0.8260, 43, 23.91
11:18:08 AM, 120.72, 161.2028, 0.8407, 43, 24.11
11:18:09 AM, 120.92, 161.2028, 0.8309, 47, 23.72
11:18:10 AM, 120.92, 161.6023, 0.8016, 43, 24.49
11:18:11 AM, 120.92, 161.6023, 0.7771, 43, 23.91
11:18:12 AM, 120.92, 161.6023, 0.7869, 43, 23.91
11:18:13 AM, 120.92, 161.4025, 0.8016, 47, 24.30
11:18:14 AM, 120.92, 161.6023, 0.7771, 43, 23.13
11:18:15 AM, 120.92, 161.6023, 0.7918, 47, 24.30
11:18:16 AM, 120.92, 161.4025, 0.7967, 43, 23.91
11:18:17 AM, 120.53, 161.4025, 0.8016, 43, 23.13
11:18:18 AM, 120.72, 161.0030, 0.8358, 43, 23.91
11:18:19 AM, 120.72, 161.2028, 0.7918, 47, 24.69
11:18:20 AM, 120.72, 161.2028, 0.8211, 43, 23.72
11:18:21 AM, 120.72, 161.2028, 0.8162, 43, 23.72
11:18:22 AM, 120.72, 161.2028, 0.8016, 43, 24.11
11:18:23 AM, 120.53, 161.2028, 0.8309, 43, 24.11
11:18:24 AM, 120.53, 161.0030, 0.8895, 47, 21.58
11:18:25 AM, 120.53, 160.6035, 0.7771, 43, 24.11
11:18:26 AM, 120.72, 161.2028, 0.8113, 43, 23.91
11:18:27 AM, 120.92, 161.4025, 0.8211, 47, 23.72
11:18:28 AM, 120.92, 161.4025, 0.8016, 43, 24.11
11:18:29 AM, 120.72, 161.6023, 0.7918, 43, 24.11
11:18:30 AM, 121.11, 161.8021, 0.8016, 47, 23.72
11:18:31 AM, 121.31, 161.6023, 0.7674, 43, 23.52
11:18:32 AM, 121.31, 162.2016, 0.7380, 43, 24.30
11:18:33 AM, 120.92, 161.8021, 0.7674, 47, 23.72
11:18:34 AM, 120.72, 161.0030, 0.8016, 43, 24.11
11:18:35 AM, 120.53, 161.4025, 0.8211, 43, 24.11
11:18:36 AM, 120.72, 161.4025, 0.8309, 47, 23.72
11:18:37 AM, 121.11, 164.5986, 0.8065, 43, 24.49
11:18:38 AM, 120.92, 162.0018, 0.7674, 47, 24.30
11:18:39 AM, 120.72, 161.4025, 0.7771, 43, 23.91
11:18:40 AM, 120.92, 161.4025, 0.8309, 43, 24.11
11:18:41 AM, 121.11, 161.6023, 0.8016, 47, 24.11
11:18:42 AM, 121.31, 161.8021, 0.7918, 43, 23.72
11:18:43 AM, 121.31, 162.2016, 0.7478, 43, 24.11
11:18:44 AM, 121.31, 161.8021, 0.7478, 47, 24.30
11:18:45 AM, 120.72, 161.6023, 0.7967, 43, 23.91
11:18:46 AM, 120.53, 161.2028, 0.8309, 47, 24.30
11:18:47 AM, 120.72, 160.6035, 0.8407, 47, 24.49
11:18:48 AM, 120.72, 161.2028, 0.8309, 43, 24.49
11:18:49 AM, 120.72, 161.2028, 0.8211, 43, 23.72
11:18:50 AM, 120.72, 161.4025, 0.8309, 47, 24.11
11:18:51 AM, 120.72, 161.0030, 0.8162, 43, 24.69
11:18:52 AM, 120.72, 161.2028, 0.8260, 47, 23.72
11:18:53 AM, 120.92, 161.4025, 0.8162, 43, 24.11
11:18:54 AM, 120.92, 161.6023, 0.7918, 43, 24.30
11:18:55 AM, 120.92, 161.6023, 0.7918, 47, 24.88
11:18:56 AM, 120.92, 161.6023, 0.7771, 43, 24.30
11:18:57 AM, 120.72, 161.6023, 0.7967, 43, 24.11
11:18:58 AM, 120.92, 161.2028, 0.8309, 47, 23.91
11:18:59 AM, 121.11, 161.8021, 0.7918, 43, 23.72
11:19:00 AM, 120.92, 162.0018, 0.7967, 47, 24.11
11:19:01 AM, 120.72, 161.8021, 0.7576, 43, 24.30
11:19:02 AM, 120.72, 161.2028, 0.8162, 43, 24.11
11:19:03 AM, 120.72, 161.2028, 0.8260, 43, 24.11
11:19:04 AM, 120.72, 161.2028, 0.8162, 43, 23.72
11:19:05 AM, 120.72, 161.4025, 0.8260, 47, 23.91
11:19:06 AM, 120.72, 161.2028, 0.8113, 43, 24.30
11:19:07 AM, 120.92, 161.0030, 0.7918, 47, 24.49
11:19:08 AM, 120.72, 161.6023, 0.8113, 43, 24.11
11:19:09 AM, 120.53, 161.2028, 0.7918, 43, 24.49
11:19:10 AM, 120.72, 161.2028, 0.8456, 47, 24.30
11:19:11 AM, 120.72, 161.4025, 0.8309, 43, 24.49
11:19:12 AM, 120.92, 161.2028, 0.8309, 43, 23.91
11:19:13 AM, 120.92, 161.6023, 0.8016, 47, 24.11
11:19:14 AM, 120.92, 161.4025, 0.8016, 43, 24.49
